m_H^v,m_A^v,m_L^v,share_H,share_L,share_A,mean_c_T,mean_v_T,mean_cumulative_u,regime,seconds
0.3,0.25,0.0,0.97059,0.0,0.02941,0.9999999999647686,0.2999999999998705,633.1676968807906,mostly H,13.517892666999984
0.3,0.3,0.0,0.9653,0.0,0.0347,0.9999999999602626,0.30000000000140853,633.2401708469683,mostly H,10.984495583000012
0.3,0.35,0.0,0.95514,0.0,0.04486,0.9999999999496865,0.30000000000431787,633.3434028417608,mostly H,10.551938500000006
0.3,0.4,0.0,0.92967,0.0,0.07033,0.9999999999080247,0.300000000014802,633.5352804758448,mostly H,10.488591541999995
0.3,0.45,0.0,0.0,0.0,1.0,0.44999999999718276,0.44999999999718276,644.953183708215,mostly A,9.94572012499998
0.3,0.5,0.0,0.0,0.0,1.0,0.44999999999718276,0.49999999999577405,654.8956786139033,mostly A,10.184844666000004
0.3,0.55,0.0,0.0,0.0,1.0,0.44999999999718276,0.5499999999943653,664.8381735195923,mostly A,10.27733225
0.3,0.6,0.0,0.0,0.0,1.0,0.44999999999718276,0.5999999999929573,674.7806684252805,mostly A,10.281937499999998
0.3,0.65,0.0,0.0,0.0,1.0,0.44999999999718276,0.6499999999915486,684.7231633309689,mostly A,10.102955792000017
0.3,0.7,0.0,0.0,0.0,1.0,0.44999999999718276,0.6999999999901398,694.6656582366575,mostly A,10.10272816699998
0.3,0.75,0.0,0.0,0.0,1.0,0.44999999999718276,0.7499999999887313,704.6081531423458,mostly A,10.269308999999993
0.3,0.8,0.0,0.0,0.0,1.0,0.44999999999718276,0.7999999999873226,714.5506480480343,mostly A,10.290033082999997
0.3,0.85,0.0,0.0,0.0,1.0,0.44999999999718276,0.8499999999859139,724.493142953723,mostly A,10.285696082999976
0.3,0.9,0.0,0.0,0.0,1.0,0.44999999999718276,0.8999999999845052,734.4356378594115,mostly A,10.433545791
0.3,0.95,0.0,0.0,0.0,1.0,0.44999999999718276,0.9499999999830966,744.3781327651,mostly A,10.314836917000008
0.3,1.0,0.0,0.0,0.0,1.0,0.44999999999718276,0.9999999999816879,754.3206276707882,mostly A,10.349018458000018
0.4,0.0,0.0,0.98356,0.0,0.01644,0.9999999999735957,0.3999999999927058,632.9796893106793,mostly H,9.933438332999998
0.4,0.05,0.0,0.98194,0.0,0.01806,0.9999999999726077,0.399999999992813,633.0051266248291,mostly H,10.034189459000004
0.4,0.1,0.0,0.98015,0.0,0.01985,0.9999999999714901,0.3999999999930289,633.0400311548833,mostly H,10.08772325000001
0.4,0.15,0.0,0.97741,0.0,0.02259,0.9999999999696486,0.3999999999931188,633.0730750635053,mostly H,9.988988000000006
0.4,0.2,0.0,0.9749,0.0,0.0251,0.9999999999679074,0.39999999999358027,633.1254887683585,mostly H,9.853358958000001
0.4,0.25,0.0,0.97061,0.0,0.02939,0.9999999999646887,0.39999999999395525,633.1785319856676,mostly H,10.047428749999995
0.4,0.3,0.0,0.96507,0.0,0.03493,0.9999999999599446,0.399999999994638,633.2528679997263,mostly H,10.133698124999995
0.4,0.35,0.0,0.95491,0.0,0.04509,0.9999999999492865,0.3999999999956458,633.3606808561165,mostly H,10.109571958000004
0.4,0.4,0.0,0.93085,0.0,0.06915,0.9999999999104111,0.39999999999859137,633.5530329982174,mostly H,10.581778583000016
0.4,0.45,0.0,0.0,0.0,1.0,0.44999999999718276,0.44999999999718276,644.953183708215,mostly A,11.30498483400001
0.4,0.5,0.0,0.0,0.0,1.0,0.44999999999718276,0.49999999999577405,654.8956786139033,mostly A,11.324809041999998
0.4,0.55,0.0,0.0,0.0,1.0,0.44999999999718276,0.5499999999943653,664.8381735195923,mostly A,11.420651667000016
0.4,0.6,0.0,0.0,0.0,1.0,0.44999999999718276,0.5999999999929573,674.7806684252805,mostly A,10.615177749999987
0.4,0.65,0.0,0.0,0.0,1.0,0.44999999999718276,0.6499999999915486,684.7231633309689,mostly A,10.877535000000023
0.4,0.7,0.0,0.0,0.0,1.0,0.44999999999718276,0.6999999999901398,694.6656582366575,mostly A,10.93440233299998
0.4,0.75,0.0,0.0,0.0,1.0,0.44999999999718276,0.7499999999887313,704.6081531423458,mostly A,10.97192612500001
0.4,0.8,0.0,0.0,0.0,1.0,0.44999999999718276,0.7999999999873226,714.5506480480343,mostly A,11.428541042000006
0.4,0.85,0.0,0.0,0.0,1.0,0.44999999999718276,0.8499999999859139,724.493142953723,mostly A,11.573330583000029
0.4,0.9,0.0,0.0,0.0,1.0,0.44999999999718276,0.8999999999845052,734.4356378594115,mostly A,11.643214209000007
0.4,0.95,0.0,0.0,0.0,1.0,0.44999999999718276,0.9499999999830966,744.3781327651,mostly A,11.691763333000011
0.4,1.0,0.0,0.0,0.0,1.0,0.44999999999718276,0.9999999999816879,754.3206276707882,mostly A,11.142468791999988
0.5,0.0,0.0,0.98348,0.0,0.01652,0.9999999999734779,0.4999999999883103,632.9923206162842,mostly H,10.924570291999999
0.5,0.05,0.0,0.98196,0.0,0.01804,0.9999999999725708,0.49999999998831446,633.0194183548319,mostly H,11.082793707999997
0.5,0.1,0.0,0.97997,0.0,0.02003,0.9999999999712879,0.49999999998821026,633.0512224193913,mostly H,11.292065666999974
0.5,0.15,0.0,0.9773,0.0,0.0227,0.9999999999695167,0.4999999999880288,633.0883265121606,mostly H,11.29490045800003
0.5,0.2,0.0,0.9748,0.0,0.0252,0.9999999999677277,0.4999999999881596,633.1407791615588,mostly H,11.127081874999988
0.5,0.25,0.0,0.97024,0.0,0.02976,0.9999999999641749,0.4999999999878137,633.1960545884432,mostly H,11.06982845799996
0.5,0.3,0.0,0.96473,0.0,0.03527,0.999999999959489,0.49999999998770184,633.2706541868616,mostly H,10.859456749999993
0.5,0.35,0.0,0.95414,0.0,0.04586,0.9999999999481782,0.49999999998663514,633.3755929890892,mostly H,10.488558667000007
0.5,0.4,0.0,0.93098,0.0,0.06902,0.9999999999101341,0.49999999998276434,633.577734145747,mostly H,10.533305499999983
0.5,0.45,0.0,0.0,0.0,1.0,0.44999999999718276,0.44999999999718276,644.953183708215,mostly A,11.12153762500003
0.5,0.5,0.0,0.0,0.0,1.0,0.44999999999718276,0.49999999999577405,654.8956786139033,mostly A,11.075099334000015
0.5,0.55,0.0,0.0,0.0,1.0,0.44999999999718276,0.5499999999943653,664.8381735195923,mostly A,10.922001333000026
0.5,0.6,0.0,0.0,0.0,1.0,0.44999999999718276,0.5999999999929573,674.7806684252805,mostly A,11.115416333000042
0.5,0.65,0.0,0.0,0.0,1.0,0.44999999999718276,0.6499999999915486,684.7231633309689,mostly A,11.131459584000027
0.5,0.7,0.0,0.0,0.0,1.0,0.44999999999718276,0.6999999999901398,694.6656582366575,mostly A,11.173361624999984
0.5,0.75,0.0,0.0,0.0,1.0,0.44999999999718276,0.7499999999887313,704.6081531423458,mostly A,10.971633957999984
0.5,0.8,0.0,0.0,0.0,1.0,0.44999999999718276,0.7999999999873226,714.5506480480343,mostly A,11.065049375000001
0.5,0.85,0.0,0.0,0.0,1.0,0.44999999999718276,0.8499999999859139,724.493142953723,mostly A,11.156000750000032
0.5,0.9,0.0,0.0,0.0,1.0,0.44999999999718276,0.8999999999845052,734.4356378594115,mostly A,11.105948458
0.5,0.95,0.0,0.0,0.0,1.0,0.44999999999718276,0.9499999999830966,744.3781327651,mostly A,11.094362708000006
0.5,1.0,0.0,0.0,0.0,1.0,0.44999999999718276,0.9999999999816879,754.3206276707882,mostly A,11.188291959000026
